Id,SalePrice
2658,131291.96271291797
2718,156562.904148809
2414,193478.2624975336
1989,110695.38496644648
625,171170.37472348477
333,100267.67052830629
1327,115715.0337223661
858,150697.60684131525
95,183412.25283961784
1568,178988.2269370034
2482,151831.7845814594
1364,125230.46990285917
2584,143684.8811429062
818,273240.05303809216
2673,146175.73715620296
2089,139058.8550243922
1297,135288.82255723933
790,110375.12612342034
2616,207555.70570939724
720,174308.83995895743
222,153273.76516781584
557,121114.87549061186
1148,183663.00962935862
2766,151119.20263339928
534,188558.17742310592
1452,123455.10148032062
630,124215.93377882718
2648,116633.52706625701
125,144818.7315381443
1904,63489.09280628197
1670,112430.06225343967
756,95752.80484520274
717,196793.2420708463
1032,155703.54892326542
852,214544.3696936069
1731,172199.51836469115
2639,121690.10820584321
2071,101518.05859225048
1267,124611.04608934115
1851,196839.94301861187
567,147602.93200518528
2439,207374.09444953804
1898,151070.09892803885
647,159058.35828403718
2256,214657.6189190949
979,115796.21688112894
1444,211123.9081049575
2485,122622.09402412726
157,129683.12618727848
88,122636.3999985641
2003,106323.4012960527
186,204894.03608036131
1425,246551.85951362675
2695,122423.96129043536
738,99175.90173627167
395,161984.42406989686
1353,156461.88460877864
1878,142500.18685750707
390,164391.06747383584
1456,227464.96503707487
1103,313327.8222508674
1387,112491.7389808738
2070,146380.76731590086
1199,173126.76263561158
2479,166896.98809102792
501,296740.78356165095
2362,98265.26752926555
1718,203840.24507806663
2188,83248.61411416138
1483,142053.48066284676
2557,83545.73566941734
437,359439.10036377044
2224,202956.54499231355
1628,173845.71471489937
397,135886.8354020599
587,173465.29611891988
971,152323.1196116066
2611,144960.67167133855
1887,110171.33741831599
2399,340677.23611572565
2148,203909.21324567078
304,119858.47972031642
1997,125156.69241425591
2817,101469.5500416322
1431,182114.24216261393
427,324406.1671223175
263,121377.06031568785
598,158040.52304177408
2895,239795.76370711334
687,153750.25293596607
1822,134654.6515420789
2191,101829.46108717857
179,129837.60694254133
1009,211244.15016344146
2010,126086.2291562394
1991,137307.2802581938
1411,175588.15801797
1721,243770.72477517137
1144,180803.8605766105
593,213972.31853866085
575,303148.4942881388
1249,166581.57597731194
1604,128018.08707867046
1064,483356.9118126181
1923,157393.8842783565
1988,119132.00115223555
2325,165714.724792453
114,193637.59157040593
2700,171180.50437144696
217,120060.4112134144
343,174632.85697915725
386,234453.65236908727
2005,126164.85250427056
2908,142953.88681655214
1814,232073.6939695499
2446,508419.8141357987
208,138876.34337076437
1679,113346.40881902177
822,302944.68744819646
6,195039.1844999245
1781,381511.59521369194
2397,275998.6609616966
2340,305314.18120138394
1618,167878.33835435833
2843,116288.58762543289
1061,374568.7229237256
2786,123481.80597907858
1935,133089.38484275615
1341,113705.80278753542
521,276501.7783473251
2136,130632.20175107935
996,194189.2100774973
227,139908.4354269033
135,164420.98964434143
1167,164275.91183028574
294,223472.98790522787
1776,211382.070980861
540,176388.38520160827
1717,201179.70388795692
2303,131034.57409751514
116,189032.2254778978
127,129485.88391580223
1371,128235.01046224641
1014,139302.52781008134
1507,114700.28414622
702,126609.1422775624
750,136092.8685780611
261,148851.27274975923
1559,73862.96409599863
577,213730.7950882882
2812,195849.90484911637
2080,148136.97192906414
1368,122771.00432857216
2376,118831.29758629703
659,109909.99173797236
1235,132817.15991096845
332,85955.11284083393
1917,142132.40286277255
2094,223167.23810155602
1460,271037.8832722542
1471,201813.6045355541
1509,115745.16365504416
1922,141220.68331293642
433,520444.0756117249
460,254609.21808907395
1116,246447.00624459577
1137,169156.79612782455
53,166289.82636761147
2354,257610.85448217345
1475,194916.47140648772
1761,552276.0206058967
842,138778.56376942925
2739,150605.61494285628
2509,150272.48929607336
1007,201563.6353096198
2610,190151.75577457075
1952,83206.23161735575
2719,159756.98518043366
2921,96317.69551980101
1966,139193.54559124395
292,103640.52984632284
1204,189135.7190074466
1829,262083.00669799093
2419,181040.5952240079
391,152972.9673563376
798,109064.60710518839
481,192104.3354780484
193,188631.91524129716
555,116236.91637670386
899,71160.30572158036
2357,184614.0323400157
328,129638.87868920591
1356,113977.24323442481
1154,106832.89612541447
1730,170914.31623991238
2249,149475.94840031106
1119,268042.6632124034
2856,131932.2392573908
1394,136817.51845053892
2587,128030.85287597662
61,318386.7929890411
2661,168515.82018244543
2711,130064.46620593933
1147,174791.30504823028
757,127146.4125480021
2623,107773.37955858643
2378,142166.34418764844
1413,142738.68300903
1722,225775.77971468156
1112,213274.22505687986
1623,196527.80752626102
1201,179755.1226703827
1513,110955.50673423726
957,388418.95885921264
1171,257425.00017371352
1145,189384.48200670464
2726,237618.0486282387
703,157003.21480582788
760,89924.03386942181
1964,144176.3843223578
2512,174590.23816961574
159,131930.63914422793
1281,161267.58995662534
468,169541.24620661358
290,118653.7614209503
665,99454.72572963213
1463,259928.31303804432
1792,225161.01811841252
923,153805.74706350645
500,255999.07218652175
1408,158244.75230272426
331,83132.10986318927
170,107741.73124153516
2192,92733.73910734299
2571,225599.0452965803
2314,171246.04027956133
2647,97509.04513112838
422,441050.98753845255
2457,353396.3381482976
1838,192160.51853289382
2805,243694.34924650242
1645,155323.65946340788
1711,296664.1800263306
2825,226605.40419502335
322,293391.24893512594
2103,251032.24644190277
342,120466.32910192247
600,117793.24291206647
488,185785.14006499245
1725,290560.9562655658
2246,290759.84719536727
2847,155761.25429456736
806,237593.93020000297
530,231175.26470659274
963,188832.45104421212
2678,89141.06239345006
171,92631.7551216253
2401,421855.8241630715
805,217113.66305370803
2259,248714.00029567812
1748,180097.5023037128
1361,138414.2071199499
1677,124200.67802997227
1406,142104.43948205526
2322,221013.69544104004
688,152942.66888112764
143,142132.13714916472
